messages,labels
camera - you be award a sipix digital camera ! call 09061221066 fromm landline . delivery within 28 day,spam
congratulation ur award 500 of cd voucher or 125gift guarantee & free entry 2 100 wkly draw txt music to 87066,spam
"loan for any purpose £ 500 - £ 75,000 . homeowner + tenants welcome . have you be previously refuse ? we can still help . call free 0800 1956669 or text back ' help '",spam
this be the 2nd time we have try 2 contact u. u have win the £ 750 pound prize . 2 claim be easy call 087187272008 now1 ! only 10p per minute . bt - national - rate .,spam
congrats ! 1 year special cinema pass for 2 be yours . call 09061209465 now ! c suprman v matrix3 starwars3 etc all 4 free ! bx420 - ip4 - 5we . 150pm . do nt miss out !,spam
message important information for o2 user . today be your lucky day ! 2 find out why log onto http : //www.urawinner.com there be a fantastic surprise await you,spam
have your mobile 11 month or more ? u r entitle to update to the late colour mobile with camera for free ! call the mobile update co free on 08002986030,spam
bloomberg -message center +447797706009 why wait ? apply for your future http : //career . bloomberg.com,spam
sppok up ur mob with a halloween collection of nokia logo & pic message plus a free eerie tone txt card spook to 8007,spam
25p 4 alfie moon 's child in need song on ur mob . tell ur m8s . txt tone charity to 8007 for nokias or poly charity for polys : ze 08701417012 profit 2 charity .,spam
"urgent ! : your mobile no . be award a £ 2,000 bonus caller prize on 02/09/03 ! this be our 2nd attempt to contact you ! call 0871 - 872 - 9755 box95qu",spam
phony £ 350 award - todays voda number end xxxx be select to receive a £ 350 award . if you have a match please call 08712300220 quote claim code 3100 standard rate app,spam
we try to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,spam
hello from orange . for 1 month 's free access to game news and sport plus 10 free text and 20 photo message reply yes . term apply : www.orange.co.uk/ow,spam
ur hmv quiz cash - balance be currently £ 500 - to maximize ur cash - in now send hmv1 to 86688 only 150p / msg,spam
you have won ! as a value vodafone customer our computer have pick you to win a £ 150 prize . to collect be easy . just call 09061743386,spam
congratulation ur award either a yrs supply of cd from virgin records or a mystery gift guaranteed call 09061104283 ts & c www.smsco.net £ 1.50pm approx 3min,spam
a £ 400 xmas reward be wait for you ! our computer have randomly pick you from our loyal mobile customer to receive a £ 400 reward . just call 09066380611,spam
december only ! have your mobile 11mths+ ? you be entitle to update to the late colour camera mobile for free ! call the mobile update co free on 08002986906,spam
74355 xmas iscoming & ur award either £ 500 cd gift voucher & free entry 2 r £ 100 weekly draw txt music to 87066 tnc,spam
"six chance to win cash ! from 100 to 20,000 pound txt > csh11 and send to 87575 . cost 150p / day 6days 16 + tsandcs apply reply hl 4 info",spam
todays voda number end 7548 be select to receive a $ 350 award . if you have a match please call 08712300220 quote claim code 4041 standard rate app,spam
"congratulation ! thank to a good friend u have won the £ 2,000 xmas prize . 2 claim be easy just call 08718726978 now ! only 10p per minute . bt - national - rate",spam
you have won a guarantee £ 1000 cash or a £ 2000 prize . to claim yr prize call our customer service representative on 08714712379 between 10am-7pm cost 10p,spam
you be a winner you have be specially select to receive £ 1000 cash or a £ 2000 award . speak to a live operator to claim call 087147123779am-7pm . cost 10p,spam
interflora - `` it be not too late to order interflora flower for christmas call 0800 505060 to place your order before midnight tomorrow .,spam
8007 free for 1st week ! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txte and tell ur mate www.getzed.co.uk pobox 36504 w4 5wq norm 150p / tone 16+,spam
congratulation ur award either £ 500 of cd gift voucher & free entry 2 our £ 100 weekly draw txt music to 87066 tncs www.ldew.com 1 win150ppmx3age16,spam
`` for the most sparkling shopping break from 45 per person ; call 0121 2025050 or visit www.shortbreaks.org.uk '',spam
be you unique enough ? find out from 30th august . www.areyouunique.co.uk,spam
winner ! as a value network customer you hvae be select to receive a £ 900 reward ! to collect call 09061701444 . valid 24 hour only . acl03530150pm,spam
congratulation u can claim 2 vip row a tickets 2 c blu in concert in november or blu gift guarantee call 09061104276 to claim ts & cs www.smsco.net cost£3.75max,spam
this be the 2nd time we have try to contact u. u have win the £ 1450 prize to claim just call 09053750005 b4 310303 . t & c / stop sms 08718725756 . 140ppm,spam
urgent ur £ 500 guarantee award be still unclaimed ! call 09066368327 now closingdate04/09/02 claimcode m39m51 £ 1.50pmmorefrommobile2bremove - mobypobox734ls27yf,spam
if you do n't your prize will go to another customer . t & c at www.t-c.biz 18 + 150p / min polo ltd suite 373 london w1j 6hl please call back if busy,spam
no 1 polyphonic tone 4 ur mob every week ! just txt pt2 to 87575 . 1st tone free ! so get txtin now and tell ur friend . 150p / tone . 16 reply hl 4info,spam
i do n't know u and u do n't know i . send chat to 86688 now and let 's find each other ! only 150p / msg rcvd . hg / suite342/2land / row / w1j6hl ldn . 18 year or over .,spam
send a logo 2 ur lover - 2 name join by a heart . txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo ! pobox36504w45wq txtno 4 no ad 150p,spam
hmv bonus special 500 pound of genuine hmv voucher to be win . just answer 4 easy question . play now ! send hmv to 86688 more info : www.100percent - real.com,spam
please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guarantee £ 1000 cash or £ 5000 prize !,spam
you be be contact by our date service by someone you know ! to find out who it be call from a land line 09050000878 . pobox45w2tg150p,spam
83039 62735=£450 uk break accommodationvouchers term & condition apply . 2 claim you mustprovide your claim number which be 15541,spam
you have an important customer service announcement from premier . call freephone 0800 542 0578 now !,spam
you be award a sipix digital camera ! call 09061221061 from landline . delivery within 28days . t cs box177 . m221bp . 2yr warranty . 150ppm . 16 . p p£3.99,spam
please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guarantee £ 1000 cash or £ 5000 prize !,spam
you be a winner u have be specially select 2 receive £ 1000 cash or a 4 * holiday ( flight inc ) speak to a live operator 2 claim 0871277810810,spam
`` hey sorry i didntgive ya a a bellearlier hunny just be in bedbut mite go 2 thepub l8tr if uwana mt up ? load a luv jenxxx . ``,ham
`` be you comingdown later ? ``,ham
`` hey hey werethe monkeespeople say we monkeyaround ! howdy gorgeous howu doin ? foundurself a jobyet sausage ? love jen xxx '',ham
`` cha quiteamuzing that ’ scool babe probpop in & cu satthen hunny 4brekkie ! love jen xxx . psxtra lrg portions 4 me please ``,ham
`` hey babe ! far 2 spun - out 2 spk at da mo ... dead 2 da wrld . be sleep on da sofa all day had a cool nytho tx 4 fonin hon call 2mwen im bk frmcloud 9 ! j x '',ham
`` cheers u tex mecause u werebored ! yeah okden hunny r uin wk sat ? sound ’ s likeyour havin gr8fun j ! keep updat countinlots of loveme xxxxx . ``,ham
`` ey ! calm downon theacusation .. itxt u cos iwana know wotu r doin at thew / end ... haventcn u in ages .. ring i if ur up4 nething sat.love j xxx . ``,ham
`` yeh i be def up4 something sat just got payed2day & i havbeen given a£50 pay rise 4my work & havebeen make preschoolco - ordinator 2i am feelingood luv '',ham
`` hi its kate it be lovely to see you tonight and ill phone you tomorrow . i get to sing and a guy give i his card ! xxx '',ham
`` think of u ; ) x '',ham
i too ! have a lovely night xxx,ham
hey hun - onbus goin 2 meet he . he want 2go out 4a meal but i donyt feel like it cuz have 2 get last bus home ! but he s sweet latelyxxx,ham
hi mate its rv do u hav a nice hol just a message 3 say hello coz have n ’ t send u 1 in age start drive so stay off roads ! rvx,ham
im fine babes aint be up 2 much tho ! saw scary movie yest its quite funny ! want 2mrw afternoon ? at town or mall or sumthin ? xx,ham
i notice you like look in the shit mirror you re turn into a right freak,ham
im late tellmiss im on my way,ham
be up to ne thing interesting . do you have a good birthday ? when be u wrke nxt ? i start uni today .,ham
im gonnamissu so much ! ! i would say il send u a postcard buttheres aboutas much chance of merememberin asthere be ofsi not breakin his contract ! ! luv yaxx,ham
thanx 4 the time we ’ ve spend 2geva its bin mint ! ur my baby and all i want be u ! xxxx,ham
you stayin out of trouble stranger ! ! saw dave the other day he ’ s sort now ! still with i bloke when u gona get a girl mr ! ur mum still think we will get 2getha !,ham
thanx 4 puttin da fone down on me ! !,ham
i know dat feelin have it with pete ! wuld get with em nuther place nuther time mayb ?,ham
u 2.,ham
thanx u darlin ! im cool thanx . a few bday drink 2 nite . 2morrow off ! take care c u soon.xxx,ham
hiya comin 2 bristol 1 st week in april . les get off + rudi on new yrs eve but i be snoring.they be drunk ! u bak at college yet ? my work send ink 2 bath.,ham
sez how s u & de arab boy ? hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx,ham
thing r good thanx got exams in march ive do no revision ? be fran still with boyf ? ive got ta interviw 4 exeter bit worried ! x,ham
i love u 2 babe ! r u sure everything be alrite . be he be an idiot ? txt bak girlie,ham
i luv u soo much u do n ’ t understand how special u r 2 i ring u 2morrow luv u xxx,ham
not much no fights . it be a good nite ! !,ham
jade its paul . y didn ’ t u txt i ? do u remember me from barmed ? i want 2 talk 2 u ! txt me,ham
look at amy ure a beautiful intelligent woman and i like u a lot . i know u don ’ t like me like that so don ’ t worry.,ham
`` get ticket 4 walsall tue 6 th march . my mate be get i they on sat . ill pay my treat . want 2 go . txt bak .terry '',ham
alrite jod how s the revision goin ? keris bin doin a smidgin . n e way u wan na cum over after college ? xx,ham
wot about on we d nite i be 3 then but only til 9 !,ham
pete be this your phone still ? its jenny from college and leanne.what be you up to now ? : ),ham
sorry about that this be my mate phone and i do nt write it love kate,ham
have you finish work yet ? : ),ham
hmm yeah if your not too groove out ! and i m look forward to my pound special : ),ham
thank god they be in bed !,ham
`` hey ! do u fancy meetin i at 4 at cha – hav a lil beverage on i . if not txt or ring i and we can meet up l8r . quite tired get in at 3 v.pist ; ) love pete x x x '',ham
im realy soz imat my mums 2nite what about 2moro,ham
hi darlin i m on helen fone i m gon na b up the prince 2 nite please come up tb love kate,ham
`` er enjoyin indian at the mo .. yep . sall good hehe ; > how s bout u shexy ? pete xx '',ham
no it be cancel yeah baby ! well that sound important so i understand my darlin give i a ring later on this fone love kate x,ham
hi darlin its kate be u up for doin somethin tonight ? im go to a pub call the swan or something with my parent for one drink so phone i if u can,ham
i m in inperialmusic listening2the weird track ever by ” leafcutter john ” -sound like insect be molested & someone plumbing remixe by evil man on acid !,ham
hi darlin how be work do u get into trouble ? ijust talked to your mum all morning ! i have a really good time last night im goin out soon but call i if u can,ham
hi darlin im missin u hope you be have a good time . when be u back and what time if u can give me a call at home . jess xx,ham
hi babe u r most likely to be in bed but im so sorry about tonight ! i really wan na see u tomorrow so call i at 9 . love me xxx,ham
hi i m have the most relaxing time ever ! we have to get up at 7 am every day ! be the party good the other night ? i get home tomorrow at 5ish .,ham
`` oh fuck . juswoke up in a bed on a boatin the dock . slept wid 25 year old . spinout ! giv u da gossip l8r . xxx '',ham
`` boo babe ! u enjoyin yourjob ? u seemed 2 b gettin on well hunny ! hope ure ok ? take care & i ’ llspeak 2u soonlots of loveme xxxx . ``,ham
`` hello u.call wen u finish wrk.i fancy meetin up wiv u all tonite as i need a break from dabooks . do 4 hrs last nite+2 today of wrk ! ``,ham
`` alrite hunny ! wot u up 2 2nite ? didnt end up goin down town jus da pub instead ! jus chillin at da mo in i bedroom ! love jen xxx . ``,ham
u will switch your fone on dammit ! !,ham
`` hi darlin i cantdo anythingtomorrow as myparent aretake i outfor a meal . when be u free ? katexxx '',ham
`` not enufcredeit tocall.shall ileave uni at 6 + get a bus to yor house ? ``,ham
`` pete can you please ring meive hardly gotany credit '',ham
`` can i please come up now imin town.dontmatter if urgoin outl8r just reallyneed 2docd.please dontplease dontignore mycall u no thecd isv.important tome 4 2moro '',ham
ill be at your in about 3 min but look out for i,ham
`` hi darlin do youphone i ? i m athome if youwanna chat . ``,ham
wot u wan na do then missy ?,ham
sary just need tim in the bollox & it hurt he a lot so he tol me !,ham
how be u ? i have missed u ! i havent be up 2 much a bit bored with the holiday want 2 go bak 2 college ! sad isnt it ? xx,ham
how u doin baby girl ? ? hope u be okay every time i call ure phone be off ! i miss u get in touch,ham
ill b down soon,ham
hello hello hi lou sorry it take so long 2 reply- i leave mobile at friend in lancaster just get it bak neway i m sorry i could n ’ t make ur b ’ day 2 hun !,ham
oh yeah and hav a great time in newquay - send me a postcard ! 1 look after all the girls while im gone ( u know the 1im talkin bout ! ) xx,ham
cheers lou ! yeah be a goodnite shame u neva came ! c ya gailxx,ham
wot u up 2 ? thout u be gon na call i ! ! txt bak luv k,ham
2 celebrate my b ’ day y else ?,ham
fine if that ’ the way u feel . that ’ the way its gota b,ham
my new year eve be ok . i go to a party with my boyfriend . who be this si then hey,ham
i have no money 4 steve mate ! !,ham
im gon na miss u so much,ham
jane babes not goin 2 wrk feel ill after lst nite . fone in already cover 4 i chuck . : - ),ham
hiya do u like the hlday pic look horrible in they so take mo out ! how s the camp amrca thing ? speak soon serena : ),ham
hellogorgeous hows u ? my fone be on charge lst nitw wen u texd i . hopeu ad a nice wkend as im sure u do lookin 4ward 2 c - in u 2mrw luv jaz,ham
i really need 2 kiss u i miss u my baby from ur baby 4eva,ham
alrite sam its nic just checkin that this be ur number - so is it ? t.b *,ham
pis be talk be someone that realise u that point this at be it . ( now read it backwards ),ham
u goin out 2nite ?,ham
okay name ur price as long as its legal ! wen can i pick they up ? y u ave x ams xx,ham
where wuld i be without my baby ? the thought alone mite break i and i do n ’ t wan na go crazy but everyboy need his lady xxxxxxxx,ham
hey no i ad a crap nite be borin without ya 2 boggy with i u boring biatch ! thanx but u wait til nxt time il ave ya,ham
`` hello-/ @ drivby-:0quit edrunk sorry iff pthis make no senrd - dnot no how ^ dancce 2 drum n basq ! ihave fun 2nhite x ros xxxxxxx '',ham
hi its kate how be your evening ? i hope i can see you tomorrow for a bit but i have to bloody babyjontet ! txt back if u can . : ) xxx,ham
who be you seeing ?,ham
ok i m not sure what time i finish tomorrow but i wan na spend the evening with you cos that would be vewy vewy lubly ! love i xxx,ham
oh that s late ! well have a good night and i will give u a call tomorrow . iam now go to go to sleep night night,ham
cheer for the message zogtorius . i ’ ve be stare at my phone for an age decide whether to text or not .,ham
i ca n ’ t wait for cornwall . hope tonight be n ’ t too bad as well but it ’ rock night shite . anyway i ’ m go for a kip now have a good night . speak to you soon .,ham
hi babe its i thank for come even though it do nt go that well ! i just want my bed ! hope to see you soon love and kiss xxx,ham
just gettin a bit arty with my collage at the mo well tryin 2 ne way ! got a roast in a min lovely i shall enjoy that !,ham
my no . in luton 0125698789 ring i if ur around ! h *,ham
hey there babe how u doin ? wot u up 2 2nite love annie x.,ham
`` si.como no ? ! listened2the plaid album - quite gd & the new air1 which be hilarious - also bought ” braindance ” a comp.ofstuff on aphex ’ s ; abel u hav2hear it ! c u sn xxxx '',ham
hi darlin ive just get back and i have a really nice night and thank so much for the lift see u tomorrow xxx,ham
i hope you arnt piss off but i d would really like to see you tomorrow . love i xxxxxxxxxxxxxx,ham
so be th gower mate which be where i be ! ? ! how r u man ? all be good in wales ill b back ' morrow . c u this wk ? who be the msg 4 ? – random !,ham
hope you ’ re not have too much fun without i ! ! see u tomorrow love jess x,ham
`` ah poor baby ! hope urfeeling bettersn luv ! probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx . ``,ham
`` hey j ! r u feel any well hopeso hunny . i amnow feelin ill & ithink i may have tonsolitusaswell ! damn iam layin in bedreal bored . lotsof luv i xxxx '',ham
wot u up 2 j ?,ham
`` hi babe uawake ? feellikw shit.justfound out via aletter thatmum gotmarried 4thnov.behind ourback – fuckinnice ! selfish deviousbitch.anyway i ’ l call u '',ham
`` shit babe .. thasa bit mess up.yeh she shudvetold u. do urgran know ? neway illspeak 2 u2moro wen im not asleep ... ``,ham
`` hey kate hope ur ok ... will give u a buz wedlunch . go outsomewhere 4 adrink in town .. cud go 2watershd 4 a bit ? ppl fromwrk will bthere . love petexxx . ``,ham
`` petey boy whereare you i and all your friendsare in thekingshead come down if you canlove nic '',ham
`` aww you must be nearly dead ! well jez iscome over todo some workand that whilltake forever ! ``,ham
`` alright babe justthought i ’ d sayhey ! how u doin ? nearly the endof i wk offdam nevamind ! we will have 2hook up sn if uwant m8 ? lovejen x . ``,ham
right it be nt you who phone it be someone with a number like yours !,ham
y ? where u at dogbreath ? its just sounding like jan c that ’ s al ! ! ! ! ! ! ! ! !,ham
r u & sam p in eachother . if we meet we can go 2 my house,ham
babe i think i get ur brolly i leave it in english wil bring it in 2mrw 4 u luv franxx,ham
what time u wrkin ?,ham
hey girl . how r u ? hope u r well i an del r bak ! again long time no c ! give me a call sum time from lucyxx,ham
i have a date on sunday with will ! !,ham
hi the way i be with u 2day be the normal way & this be the real i . ur unique & i hope i know u 4 the rest of mylife . hope u find wot be lose .,ham
hi hun ! im not comin 2nite - tell every1 im sorry 4 me hope u ava goodtime ! oli rang melnite ifink it mite b sorted but il explain everythin on mon.l8rs.x,ham
thanx 4 2day ! u r a goodmate i think ur rite sary ! asusual ! 1 u cheer i up ! love u franyxxxxx,ham
hey darlin .. i can pick u up at college if u tell i wen & where 2 mt .. love pete xx,ham
happy new year my no.1 man,ham
alrite,ham
wot u up 2 u weirdo ?,ham
u have n ’ t lose i ill always b here 4u.i do n ’ t intend 2 hurt u but i never know how u feel about i when iwas+marine & that ’ what itried2tell urmom.i careabout u,ham
wot be u up 2 then bitch ?,ham
pleassssssseeeeee tel me v avent do sportsx,ham
no get new job at bar in airport on satsgettin 4.47per hour but mean no lie in ! keep in touch,ham
i m just wonder what your do right now ?,ham
i love u 2 my little pocy bell i be sorry but i love u,ham
hello peach ! my cake tasts lush !,ham
thanx4 today cer it be nice 2 catch up but we ave 2 find more time more often oh well take care c u soon.c,ham
pick ur fone up now u dumb ?,ham
there the size of elephant tablet & u shove um up ur ass ! !,ham
i walk an hour 2 c u ! do n ’ t that show i care y wo nt u believe i m serious ?,ham
try neva mate ! !,ham
i ’ m cool ta luv but v.tire 2 cause i have be doin load of plan all wk we have get our social service inspection at the nursery ! take care & spk sn x.,ham
sound well than my evening i m just do my costume . i m not sure what time i finish tomorrow but i will txt you at the end .,ham
oh ok i do nt know what you mean . yep i be baby jontin,ham
awww dat be sweet ! we can think of something to do he he ! have a nice time tonight ill probably txt u later cos i m lonely : ( xxx .,ham
cud u tell ppl i m gona b a bit l8 cos 2 bus hav gon past cos they be full & i m still waitin 4 1 . pete x,ham
sorry im stil fucked after last nite went tobe at 430 got up 4 work at 630,ham
how be you babe . hope your do ok . i have a shit night sleep . i fall asleep at 5.i ’ m knackere and i ’ m dread work tonight . what be thou upto tonight . x,ham
ok darlin i supose it be ok i just worry too much.i have to do some film stuff my mate and then have to babysit again ! but you can call i there.xx,ham
mmm that s well now i get a roast down i ! i ’ d b well if i have a few drink down i 2 ! good indian ?,ham
yo yo yo byatch whassup ?,ham
"hi jon pete here i ve bin 2 spain recently & hav sum dinero leave bill say u or ur ' rent mayb interested in it i hav 12,000pes so around £ 48 tb james .",ham
ello babe u ok ?,ham
hi juan . i m come home on fri hey . of course i expect a welcome party and lot of present . ill phone u when i get back . load of love nicky x x x x x x x x x,ham
hi my darlin i m on my way to london and we have just be smash into by another driver ! and have a big dent ! i m really miss u what have u be up to ? xxx,ham
hi baby i m cruisin with my girl friend what r u up 2 ? give i a call in and hour at home if that s alright or fone i on this fone now love jenny xxx,ham
`` gran onlyfound out afew days ago.cusoon honi '',ham
`` cheer for callin babe.sozi culdnt talkbut i wannatell u details later wenwecan chat properly x '',ham
`` hey das cool ... iknow all 2 wellda peril of studentfinancial crisis ! spk 2 u l8r . ``,ham
wot student discount can u get on books ?,ham
`` none ! nowhere ikno doesdiscount ! shitinnit '',ham
`` what be youdoe later ? sar xxx '',ham
`` i m on gloucesterroad what be uup to later ? ``,ham
`` i m at arestaurant eat squid ! i will be out about 10:30 wan na dosomethe or be that to late ? ``,ham
`` hi miss your call and my mumhas beendroppe red wine all over theplace ! what be your adress ? ``,ham
al he do be moan at i if n e thin go wrong its my fault & al de argument r my fault & fed up of he of himso y bother ? hav 2go thanx.xx,ham
now u sound like manky scouse boy steve like ! i be travel on da bus home.wot have u inmind 4 recreation dis eve ?,ham
do u want 2 meet up 2morro,ham
hey mate ! hows u honey ? did u ave good holiday ? gimmi de goss ! x,ham
de i on ya break fassyole ! blacko from londn,ham
ill call u 2mrw at ninish with my address that icky american freek wo nt stop callin i 2 bad jen k eh ?,ham
hi neva worry bout da truth coz the truth will lead i 2 ur heart . it ’ the least a unique person like u deserve . sleep tight or morning,ham
u r the most beautiful girl ive ever see . u r my baby come and c me in the common room,ham
when the first strike be a red one . the bird + antelope begin toplay in the fieldof selfindependence believe this + the flower of contention will grow.random !,ham
that ’ s alrite girl u know gail be neva wrong ! ! take care sweet and don ’ t worry.c u l8tr hun ! love yaxxx,ham
do not b late love mum,ham
where @,ham
hi petey ! noi ’ m ok just want 2 chat coz avent speak 2 u 4 a long time - hope ur doin alrite.have good nit at js love ya am.x,ham
oh rite . well im with my best mate pete who i go out with 4 a week+ now be 2geva again . its be long than a week.,ham
thank u. it well work out cause i will feel used otherwise,ham
nah i m goin 2 the wrk with j wot bout u ?,ham
i m sorry bout last nite it be n ’ t ur fault it be i spouse it be pmt or sumthin ! u 4give i ? i think u shldxxxx,ham
lmao ! nice 1,ham
nite nite pocay wocay luv u more than n e thing 4eva i promise ring u 2morrowxxxx,ham
`` me 2 babe i feel the same lets just 4get about it+both try + cheer up+not fit soo muchxxlove u locaxx '',ham
fran i decided 2 go n e way im completely break an knackered i got up bout 3 c u 2mrw love janx p.s this be my dads fone -no credit,ham
ceri u rebel ! sweet dreamz me little buddy ! ! c ya 2moro ! who needs blokes,ham
g.w.r,ham
yeah probably but not sure . ilol let u know but personally i wuldnt bother then again if ur goin to then i mite as well ! !,ham
no b4 thursday,ham
hi darlin i finish at 3 do u 1 2 pick i up or meet i ? text back on this number luv kate xxx,ham
hi darlin i hope you have a nice night i wish i had come cant wait to see you love fran ps i want dirty anal sex and i want a 10 man gang bang,ham
hello darlin i ve finish college now so txt i when u finish if u can love kate xxx,ham
have you have a good day ? mine be really busy be you up to much tomorrow night ?,ham
hi its i you be probably have too much fun to get this message but i think i d txt u cos i m bored ! and jame have be fart at i all night,ham
make that 3 ! 4 fuck sake ? ! x,ham
zoe it just hit me 2 im fucking shitin myself il defo try my hardest 2 cum 2morow luv u millions lekdog,ham
we regret to inform u that the nhs have make a mistake.u be never actually born.please report 2 yor local hospital 2b terminated.we r sorry 4 the inconvenience,ham
no prob hon ! how u doinat the mo ?,ham
yeh . indians be nice . tho it do kane i off a bit he he . we shud go out 4 a drink sometime soon . mite hav 2 go 2 da work 4 a laugh soon . love pete x x,ham
hi its kate can u give me a ring asap xxx,ham
hi its jess i dont know if you be at work but call i when u can im at home all eve . xxx,ham
hi babe im at home now wan na do something ? xx,ham
hi baby i ve just get back from work and i be want to see u allday ! i hope i do nt piss u off on the phone today . if u be up give i a call xxx,ham
26th of july,ham
hi baby i m sit on the bloody bus at the mo and i wo nt be home until about 7:30 wan na do somethin later ? call i later ortxt back jess xx,ham
bugis oso near wat ...,ham
go until jurong point crazy .. available only in bugis n great world la e buffet ... cine there get amore wat ...,ham
i dunno until when ... let go learn pilate ...,ham
den only weekday get special price ... haiz ... ca nt eat liao ... cut nail oso muz wait until i finish drivin wat lunch still muz eat wat ...,ham
meet after lunch la ...,ham
yunny i be walk in citylink now ü fast come down ... i very hungry ...,ham
5 night ... we nt stay at port step liao ... too ex,ham
hey pple ... $ 700 or $ 900 for 5 night ... excellent location wif breakfast hamper ! ! !,ham
